"video_url","image","duration","title","channel","style-scope 5","watch_time","posted_date","channed_status"
"https://www.youtube.com/watch?v=fOukA4Qh9QA","","9:01:56","Getting Started With Django Tutorial // Build a CRM","JustDjango","•","455K views","2 years ago",""
"https://www.youtube.com/watch?v=WuyKxdLcw3w","","2:20:03","Django Authentication & User Management - Full Tutorial","Tech With Tim","•","62K views","11 months ago","Verified"
"https://www.youtube.com/watch?v=qNifU_aQRio","","17:59","Navbar Bootstrap 5 |  Bootstrap Navbar Tutorial","Adrian Twarog","•","147K views","1 year ago","Verified"
"https://www.youtube.com/watch?v=6E_NeVjxCdE","","43:56","CRUD APP (Part 3) | CONVERT .HTML PAGES TO MODAL IN DJANGO 4 | With PK Techniques & Extends","Django Mastery","•","7.2K views","1 year ago",""
"https://www.youtube.com/watch?v=uJp4PaDkux0","","12:06","How Style the Forms Created by Model Forms in Django","StudyGyaan","•","13K views","1 year ago",""
"https://www.youtube.com/watch?v=F5mRW0jo-U4","","3:45:41","Python Django Web Framework - Full Course for Beginners","freeCodeCamp.org","•","3.6M views","4 years ago","Verified"
"https://www.youtube.com/watch?v=I8TRkEcw9Mg","","2:00:16","Django Blog Application - Full Tutorial 2022","Code With Stein","•","19K views","1 year ago",""
"https://www.youtube.com/watch?v=_ER9jHiylAo","","17:40","How to set up Prisma with Next.js and Postgres!","Ethan Mick","•","486 views","4 days ago",""
"https://www.youtube.com/watch?v=yubojBH8e_Q","","57:15","Solana Workshop: Solana Twitter","Joseph Caulfield","•","14 views","6 days ago",""
"https://www.youtube.com/watch?v=YfFGiulV9C4","","24:42","How To Create CSS Button Hover Effects | Hover Effect CSS","Learn With Selase","•","10 views","2 weeks ago",""
"https://www.youtube.com/watch?v=bf5wJcuMlaA","","19:57","Solana Workshop: SVG Generator","Joseph Caulfield","•","7 views","7 days ago",""
"https://www.youtube.com/watch?v=a7Js59b5P-c","","38:28","Part 1- User Register API(Python Django REST Framework) in Malayalam (മലയാളം)","PyTech code","•","12K views","2 years ago",""
